[2025-05-17 14:01:51] İlçe: Bahçelievler, Tarih/Saat: 2025-05-17 15:00:00, QueryCost: 1
[2025-05-17 14:03:44] İlçe: Bahçelievler, Tarih/Saat: 2025-05-17 15:00:00, QueryCost: 1
[2025-05-17 14:07:21] İlçe: Bahçelievler, Tarih/Saat: 2025-05-17 15:00:00, QueryCost: 1
[2025-05-17 14:07:30] İlçe: Bahçelievler, Tarih/Saat: 2025-05-17 15:00:00, QueryCost: 1
[2025-05-17 14:17:05] İlçe: Bahçelievler, Tarih/Saat: 2025-05-17 15:00:00, QueryCost: 1
[2025-05-17 14:18:20] İlçe: Adalar, Tarih/Saat: 2025-05-17 15:00:00, QueryCost: 1
[2025-05-17 14:18:49] İlçe: Bahçelievler, Tarih/Saat: 2025-05-17 15:00:00, QueryCost: 1
[2025-05-17 14:19:34] İlçe: Bahçelievler, Tarih/Saat: 2025-05-18 13:00:00, QueryCost: 1
[2025-05-17 14:20:22] İlçe: Bahçelievler, Tarih/Saat: 2025-05-18 13:00:00, QueryCost: 1
[2025-05-20 14:11:37] İlçe: Bahçelievler, Tarih/Saat: 2025-05-20 15:00:00, QueryCost: 1
[2025-05-20 14:12:33] İlçe: Adalar, Tarih/Saat: 2025-05-20 15:00:00, QueryCost: 1
[2025-05-20 15:13:43] İlçe: Bahçelievler, Tarih/Saat: 2025-05-20 16:00:00, QueryCost: 1
[2025-05-20 16:20:20] İlçe: Adalar, Tarih/Saat: 2025-05-20 17:00:00, QueryCost: 1
[2025-05-20 17:05:36] İlçe: Bahçelievler, Tarih/Saat: 2025-05-20 18:00:00, QueryCost: 1
[2025-05-20 17:07:03] İlçe: Bahçelievler, Tarih/Saat: 2025-05-20 18:00:00, QueryCost: 1
[2025-05-21 10:40:32] İlçe: Bahçelievler, Tarih/Saat: 2025-05-21 11:00:00, QueryCost: 1
[2025-05-26 12:14:03] İlçe: Bahçelievler, Tarih/Saat: 2025-05-26 13:00:00, QueryCost: 1
[2025-05-26 12:18:06] İlçe: Bahçelievler, Tarih/Saat: 2025-05-26 15:00:00, QueryCost: 1
[2025-05-26 12:18:17] İlçe: Bahçelievler, Tarih/Saat: 2025-05-27 14:00:00, QueryCost: 1
[2025-05-28 22:59:24] İlçe: Bahçelievler, Tarih/Saat: 2025-05-28 23:00:00, QueryCost: 1
[2025-05-28 22:59:41] İlçe: Bahçelievler, Tarih/Saat: 2025-05-29 14:00:00, QueryCost: 1
[2025-05-28 22:59:57] İlçe: Bahçelievler, Tarih/Saat: 2025-05-29 02:00:00, QueryCost: 1
[2025-05-28 23:00:14] İlçe: Bahçelievler, Tarih/Saat: 2025-05-29 00:00:00, QueryCost: 1
[2025-05-28 23:00:26] İlçe: Bahçelievler, Tarih/Saat: 2025-05-29 04:00:00, QueryCost: 1
[2025-06-03 17:23:57] İlçe: Bahçelievler, Tarih/Saat: 2025-06-03 18:00:00, QueryCost: 1
[2025-06-03 17:24:13] İlçe: Bahçelievler, Tarih/Saat: 2025-06-03 23:00:00, QueryCost: 1
[2025-06-03 18:11:49] İlçe: Bahçelievler, Tarih/Saat: 2025-06-03 19:00:00, QueryCost: 1
