iter	Passed	Remaining
0	36	28805
1	68	27210
2	104	27805
3	138	27477
4	169	26977
5	202	26771
6	236	26808
7	275	27264
8	308	27154
9	343	27165
10	377	27044
11	408	26855
12	441	26757
13	473	26596
14	506	26485
15	541	26538
16	574	26471
17	609	26462
18	642	26390
19	674	26313
20	709	26302
21	745	26367
22	780	26361
23	815	26375
24	849	26345
25	884	26331
26	917	26277
27	959	26468
28	1021	27163
29	1073	27547
30	1108	27503
31	1145	27490
32	1179	27416
33	1212	27326
34	1246	27238
35	1280	27164
36	1315	27126
37	1348	27049
38	1382	26973
39	1418	26957
40	1452	26893
41	1485	26809
42	1519	26750
43	1553	26684
44	1588	26643
45	1619	26550
46	1652	26469
47	1685	26410
48	1720	26368
49	1752	26292
50	1786	26238
51	1824	26249
52	1859	26203
53	1901	26267
54	1947	26374
55	1986	26388
56	2021	26348
57	2057	26325
58	2092	26282
59	2129	26263
60	2166	26245
61	2202	26220
62	2243	26251
63	2277	26191
64	2312	26143
65	2348	26114
66	2382	26070
67	2416	26012
68	2451	25971
69	2494	26014
70	2534	26018
71	2577	26058
72	2614	26036
73	2649	25990
74	2684	25953
75	2717	25885
76	2751	25834
77	2785	25786
78	2818	25718
79	2851	25663
80	2884	25607
81	2919	25566
82	2952	25504
83	2986	25458
84	3020	25405
85	3052	25343
86	3084	25277
87	3117	25220
88	3150	25170
89	3183	25111
90	3215	25053
91	3249	25010
92	3284	24971
93	3318	24922
94	3352	24881
95	3387	24840
96	3420	24789
97	3453	24737
98	3487	24696
99	3521	24651
100	3555	24607
101	3590	24573
102	3624	24526
103	3657	24475
104	3690	24425
105	3722	24370
106	3754	24315
107	3787	24270
108	3820	24219
109	3853	24168
110	3885	24117
111	3919	24079
112	3953	24034
113	3984	23978
114	4019	23941
115	4052	23897
116	4086	23855
117	4120	23814
118	4153	23772
119	4189	23739
120	4223	23700
121	4255	23650
122	4287	23599
123	4320	23555
124	4355	23518
125	4387	23471
126	4421	23429
127	4453	23381
128	4487	23340
129	4520	23298
130	4554	23258
131	4587	23217
132	4620	23170
133	4651	23120
134	4685	23080
135	4718	23038
136	4751	22993
137	4786	22959
138	4818	22912
139	4849	22861
140	4883	22825
141	4917	22785
142	4950	22743
143	4983	22703
144	5015	22654
145	5047	22609
146	5081	22571
147	5113	22528
148	5147	22490
149	5180	22446
150	5211	22401
151	5244	22359
152	5277	22319
153	5310	22277
154	5344	22239
155	5376	22195
156	5408	22152
157	5442	22114
158	5474	22070
159	5509	22036
160	5542	21997
161	5575	21956
162	5607	21913
163	5640	21875
164	5672	21829
165	5705	21792
166	5739	21753
167	5773	21720
168	5807	21683
169	5841	21646
170	5876	21616
171	5909	21575
172	5941	21533
173	5975	21498
174	6009	21461
175	6043	21425
176	6077	21390
177	6109	21350
178	6142	21309
179	6175	21270
180	6206	21226
181	6240	21188
182	6272	21148
183	6306	21111
184	6338	21072
185	6371	21033
186	6406	20999
187	6440	20966
188	6476	20937
189	6509	20899
190	6543	20862
191	6575	20821
192	6607	20782
193	6642	20748
194	6674	20707
195	6706	20668
196	6740	20633
197	6776	20604
198	6810	20569
199	6843	20529
200	6876	20493
201	6910	20458
202	6944	20423
203	6978	20389
204	7012	20352
205	7046	20319
206	7078	20278
207	7113	20245
208	7145	20205
209	7178	20169
210	7214	20138
211	7247	20102
212	7282	20068
213	7314	20029
214	7349	19997
215	7383	19961
216	7415	19922
217	7447	19882
218	7480	19844
219	7513	19807
220	7546	19771
221	7578	19732
222	7611	19695
223	7644	19656
224	7706	19693
225	7747	19677
226	7779	19638
227	7812	19600
228	7845	19561
229	7877	19523
230	7910	19485
231	7942	19445
232	7974	19406
233	8007	19368
234	8040	19331
235	8073	19295
236	8105	19254
237	8138	19216
238	8170	19178
239	8203	19141
240	8237	19107
241	8271	19072
242	8303	19033
243	8337	18997
244	8370	18960
245	8402	18923
246	8435	18886
247	8469	18850
248	8501	18812
249	8535	18777
250	8568	18740
251	8601	18705
252	8634	18668
253	8667	18631
254	8699	18593
255	8732	18556
256	8765	18520
257	8797	18480
258	8829	18443
259	8862	18406
260	8894	18369
261	8926	18330
262	8960	18295
263	8993	18259
264	9026	18222
265	9059	18187
266	9094	18154
267	9130	18124
268	9168	18097
269	9202	18064
270	9235	18027
271	9268	17992
272	9303	17959
273	9336	17923
274	9371	17890
275	9403	17853
276	9436	17817
277	9469	17781
278	9502	17745
279	9535	17708
280	9569	17674
281	9601	17637
282	9634	17601
283	9672	17574
284	9709	17545
285	9742	17508
286	9774	17472
287	9809	17438
288	9843	17404
289	9876	17369
290	9912	17337
291	9944	17301
292	9977	17264
293	10010	17228
294	10043	17192
295	10076	17158
296	10108	17120
297	10141	17084
298	10175	17049
299	10207	17012
300	10239	16974
301	10272	16938
302	10305	16904
303	10340	16871
304	10372	16834
305	10405	16799
306	10438	16762
307	10471	16727
308	10504	16691
309	10537	16655
310	10569	16618
311	10602	16583
312	10635	16548
313	10667	16510
314	10700	16474
315	10732	16439
316	10765	16403
317	10800	16370
318	10835	16338
319	10871	16306
320	10904	16271
321	10940	16240
322	10973	16204
323	11006	16170
324	11039	16134
325	11073	16100
326	11105	16064
327	11140	16031
328	11173	15996
329	11206	15960
330	11240	15926
331	11272	15890
332	11305	15855
333	11339	15820
334	11372	15785
335	11404	15749
336	11437	15714
337	11470	15678
338	11501	15641
339	11534	15606
340	11568	15571
341	11600	15535
342	11633	15500
343	11667	15465
344	11700	15431
345	11734	15396
346	11767	15361
347	11801	15327
348	11833	15292
349	11866	15256
350	11899	15221
351	11932	15187
352	11965	15151
353	12002	15122
354	12035	15087
355	12069	15052
356	12102	15018
357	12136	14984
358	12173	14954
359	12228	14946
360	12261	14911
361	12294	14875
362	12328	14841
363	12360	14805
364	12394	14771
365	12426	14734
366	12459	14699
367	12492	14664
368	12524	14628
369	12557	14593
370	12589	14557
371	12622	14522
372	12656	14488
373	12688	14453
374	12721	14417
375	12754	14383
376	12787	14348
377	12821	14313
378	12853	14277
379	12886	14243
380	12891	14177
381	12923	14141
382	12956	14106
383	12989	14071
384	13023	14038
385	13058	14006
386	13094	13974
387	13127	13939
388	13161	13905
389	13193	13870
390	13226	13835
391	13260	13801
392	13292	13766
393	13326	13732
394	13360	13698
395	13395	13665
396	13428	13631
397	13462	13598
398	13496	13563
399	13528	13528
400	13562	13494
401	13597	13461
402	13629	13426
403	13663	13392
404	13696	13358
405	13729	13323
406	13762	13289
407	13795	13254
408	13827	13218
409	13860	13184
410	13893	13149
411	13930	13118
412	13964	13085
413	13996	13049
414	14029	13015
415	14061	12980
416	14094	12945
417	14126	12910
418	14159	12875
419	14192	12840
420	14224	12805
421	14256	12770
422	14289	12735
423	14322	12700
424	14355	12666
425	14388	12632
426	14419	12596
427	14452	12561
428	14485	12526
429	14518	12492
430	14550	12457
431	14583	12423
432	14617	12389
433	14650	12354
434	14683	12320
435	14718	12287
436	14751	12253
437	14785	12220
438	14819	12186
439	14851	12151
440	14885	12117
441	14920	12084
442	14953	12050
443	14987	12017
444	15020	11982
445	15054	11948
446	15087	11914
447	15121	11881
448	15154	11846
449	15187	11812
450	15219	11777
451	15251	11742
452	15284	11707
453	15317	11673
454	15352	11640
455	15384	11606
456	15417	11571
457	15451	11538
458	15484	11503
459	15516	11468
460	15549	11434
461	15583	11401
462	15616	11366
463	15651	11333
464	15684	11299
465	15717	11265
466	15749	11230
467	15783	11196
468	15815	11161
469	15847	11126
470	15880	11092
471	15912	11057
472	15944	11023
473	15977	10988
474	16010	10954
475	16042	10919
476	16076	10886
477	16110	10852
478	16143	10818
479	16176	10784
480	16209	10750
481	16241	10715
482	16273	10680
483	16306	10646
484	16339	10612
485	16373	10578
486	16405	10544
487	16437	10509
488	16469	10474
489	16502	10440
490	16534	10405
491	16566	10370
492	16599	10336
493	16631	10302
494	16663	10267
495	16696	10233
496	16708	10186
497	16740	10152
498	16771	10116
499	16803	10082
500	16837	10048
501	16871	10015
502	16904	9981
503	16937	9947
504	16969	9913
505	17001	9878
506	17033	9843
507	17066	9809
508	17070	9759
509	17102	9725
510	17135	9691
511	17168	9657
512	17200	9623
513	17233	9589
514	17267	9555
515	17300	9521
516	17334	9488
517	17367	9454
518	17399	9420
519	17432	9386
520	17465	9352
521	17497	9318
522	17529	9284
523	17562	9250
524	17595	9216
525	17627	9182
526	17659	9147
527	17691	9113
528	17724	9080
529	17756	9045
530	17788	9011
531	17822	8978
532	17854	8944
533	17887	8910
534	17919	8876
535	17953	8842
536	17985	8808
537	18020	8775
538	18054	8742
539	18087	8708
540	18120	8675
541	18154	8641
542	18188	8608
543	18221	8574
544	18254	8541
545	18287	8507
546	18320	8473
547	18353	8440
548	18385	8405
549	18418	8372
550	18451	8338
551	18483	8304
552	18516	8270
553	18549	8236
554	18582	8202
555	18616	8169
556	18648	8135
557	18681	8102
558	18714	8068
559	18748	8035
560	18783	8002
561	18817	7968
562	18852	7936
563	18886	7902
564	18918	7868
565	18952	7835
566	18985	7801
567	19018	7768
568	19051	7734
569	19085	7701
570	19118	7667
571	19152	7634
572	19184	7600
573	19217	7566
574	19250	7532
575	19283	7499
576	19315	7465
577	19348	7431
578	19381	7397
579	19414	7364
580	19446	7330
581	19481	7297
582	19515	7264
583	19549	7230
584	19583	7197
585	19617	7163
586	19651	7130
587	19687	7098
588	19722	7065
589	19756	7031
590	19790	6998
591	19824	6965
592	19857	6931
593	19890	6898
594	19926	6865
595	19960	6832
596	19994	6798
597	20026	6764
598	20058	6730
599	20090	6696
600	20095	6654
601	20128	6620
602	20160	6586
603	20194	6553
604	20226	6519
605	20259	6485
606	20291	6451
607	20323	6418
608	20356	6384
609	20388	6350
610	20422	6317
611	20452	6282
612	20486	6249
613	20519	6216
614	20548	6181
615	20580	6147
616	20613	6113
617	20647	6080
618	20682	6047
619	20716	6014
620	20754	5982
621	20791	5949
622	20827	5917
623	20861	5884
624	20895	5850
625	20928	5817
626	20963	5784
627	20999	5751
628	21032	5717
629	21067	5684
630	21100	5651
631	21132	5617
632	21165	5583
633	21197	5550
634	21229	5516
635	21262	5482
636	21294	5448
637	21327	5415
638	21359	5381
639	21391	5347
640	21424	5314
641	21456	5280
642	21489	5246
643	21522	5213
644	21554	5179
645	21587	5146
646	21620	5112
647	21653	5079
648	21685	5045
649	21717	5011
650	21749	4977
651	21783	4944
652	21818	4911
653	21853	4878
654	21886	4845
655	21921	4812
656	21955	4778
657	21990	4745
658	22023	4712
659	22056	4678
660	22090	4645
661	22123	4611
662	22156	4578
663	22191	4545
664	22224	4511
665	22258	4478
666	22290	4444
667	22324	4411
668	22356	4377
669	22388	4344
670	22422	4310
671	22456	4277
672	22489	4243
673	22523	4210
674	22555	4176
675	22588	4143
676	22621	4110
677	22654	4076
678	22687	4042
679	22720	4009
680	22753	3975
681	22788	3942
682	22820	3909
683	22853	3875
684	22886	3842
685	22918	3808
