datetime,temp,feelslike,humidity,dew,precip,precipprob,snow,snowdepth,windgust,windspeed,winddir,pressure,visibility,cloudcover,solarradiation,solarenergy,uvindex,conditions,icon
2022-01-02 00:00:00,10.0,10.0,87.38,8.0,0.0,0.0,0.0,0.0,16.6,9.4,250.0,1020.0,9.0,50.0,0.0,0.0,0.0,Partially cloudy,partly-cloudy-night
2022-01-02 01:00:00,10.0,10.0,87.38,8.0,0.0,0.0,0.0,0.0,15.5,13.0,260.0,1021.0,10.0,50.0,0.0,0.0,0.0,Partially cloudy,partly-cloudy-night
2022-01-02 02:00:00,10.0,10.0,87.38,8.0,0.0,0.0,0.0,0.0,15.8,13.0,260.0,1021.0,10.0,50.0,0.0,0.0,0.0,Partially cloudy,partly-cloudy-night
2022-01-02 03:00:00,10.0,10.0,87.38,8.0,0.0,0.0,0.0,0.0,15.5,5.4,250.0,1021.0,10.0,50.0,0.0,0.0,0.0,Partially cloudy,partly-cloudy-night
2022-01-02 04:00:00,9.0,9.0,93.45,8.0,0.0,0.0,0.0,0.0,14.4,0.0,0.0,1021.0,10.0,50.0,0.0,0.0,0.0,Partially cloudy,partly-cloudy-night
2022-01-02 05:00:00,10.0,10.0,87.38,8.0,0.0,0.0,0.0,0.0,13.3,5.4,240.0,1022.0,9.0,50.0,0.0,0.0,0.0,Partially cloudy,partly-cloudy-night
2022-01-02 06:00:00,9.0,9.0,93.45,8.0,0.0,0.0,0.0,0.0,14.4,0.0,0.0,1022.0,9.0,89.2,0.0,0.0,0.0,Partially cloudy,partly-cloudy-night
2022-01-02 07:00:00,10.0,10.0,87.38,8.0,0.0,0.0,0.0,0.0,15.5,0.0,0.0,1022.0,9.0,89.2,0.0,0.0,0.0,Partially cloudy,partly-cloudy-night
2022-01-02 08:00:00,10.0,10.0,93.5,9.0,0.0,0.0,0.0,0.0,15.5,3.6,10.9,1023.0,10.0,89.2,0.0,0.0,0.0,Partially cloudy,partly-cloudy-night
2022-01-02 09:00:00,9.0,9.0,100.0,9.0,0.0,0.0,0.0,0.0,13.3,0.0,0.0,1023.0,10.0,89.2,4.9,0.0,0.0,Partially cloudy,partly-cloudy-day
2022-01-02 10:00:00,10.0,10.0,93.5,9.0,0.0,0.0,0.0,0.0,10.1,1.8,10.6,1024.0,10.0,89.2,77.4,0.3,1.0,Partially cloudy,partly-cloudy-day
2022-01-02 11:00:00,11.0,11.0,87.48,9.0,0.0,0.0,0.0,0.0,11.2,3.6,8.1,1024.0,10.0,89.2,170.0,0.6,2.0,Partially cloudy,partly-cloudy-day
